resource,hs_code,partner,partner_iso,trade_value_usd,year,data_source
Lithium,283691,Australia,AUS,1151.362,2023,UN Comtrade API
Lithium,283691,Australia,AUS,1151.362,2023,UN Comtrade API
Lithium,283691,Chile,CHL,16885491.053,2023,UN Comtrade API
Lithium,283691,Chile,CHL,11024880.039,2023,UN Comtrade API
Lithium,283691,Chile,CHL,5860611.014,2023,UN Comtrade API
Lithium,283691,China,CHN,293700.979,2023,UN Comtrade API
Lithium,283691,China,CHN,730.505,2023,UN Comtrade API
Lithium,283691,China,CHN,13820.709,2023,UN Comtrade API
Lithium,283691,China,CHN,279149.765,2023,UN Comtrade API
Lithium,283691,USA,USA,1003854.956,2023,UN Comtrade API
Lithium,283691,USA,USA,1137.188,2023,UN Comtrade API
Lithium,283691,USA,USA,1002604.376,2023,UN Comtrade API
Lithium,283691,USA,USA,113.392,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Chile,CHL,48436916.935,2023,UN Comtrade API
Lithium,283691,Chile,CHL,62.147,2023,UN Comtrade API
Lithium,283691,Chile,CHL,30964.669,2023,UN Comtrade API
Lithium,283691,Chile,CHL,48405890.118,2023,UN Comtrade API
Lithium,283691,Chile,CHL,48436916.935,2023,UN Comtrade API
Lithium,283691,Chile,CHL,62.147,2023,UN Comtrade API
Lithium,283691,Chile,CHL,30964.669,2023,UN Comtrade API
Lithium,283691,Chile,CHL,48405890.118,2023,UN Comtrade API
Lithium,283691,China,CHN,91536.578,2023,UN Comtrade API
Lithium,283691,China,CHN,32643.739,2023,UN Comtrade API
Lithium,283691,China,CHN,58892.839,2023,UN Comtrade API
Lithium,283691,China,CHN,91536.578,2023,UN Comtrade API
Lithium,283691,China,CHN,32643.739,2023,UN Comtrade API
Lithium,283691,China,CHN,58892.839,2023,UN Comtrade API
Lithium,283691,USA,USA,179854.575,2023,UN Comtrade API
Lithium,283691,USA,USA,24237.486,2023,UN Comtrade API
Lithium,283691,USA,USA,1467.551,2023,UN Comtrade API
Lithium,283691,USA,USA,154149.538,2023,UN Comtrade API
Lithium,283691,USA,USA,179854.575,2023,UN Comtrade API
Lithium,283691,USA,USA,24237.486,2023,UN Comtrade API
Lithium,283691,USA,USA,1467.551,2023,UN Comtrade API
Lithium,283691,USA,USA,154149.538,2023,UN Comtrade API
Lithium,283691,China,CHN,656150.562,2023,UN Comtrade API
Lithium,283691,Chile,CHL,138467043.223,2023,UN Comtrade API
Lithium,283691,China,CHN,460233.338,2023,UN Comtrade API
Lithium,283691,USA,USA,473.596,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,Chile,CHL,5526273.674,2023,UN Comtrade API
Lithium,283691,Chile,CHL,126.725,2023,UN Comtrade API
Lithium,283691,Chile,CHL,3094671.204,2023,UN Comtrade API
Lithium,283691,Chile,CHL,2431475.745,2023,UN Comtrade API
Lithium,283691,Chile,CHL,3094797.929,2023,UN Comtrade API
Lithium,283691,Chile,CHL,126.725,2023,UN Comtrade API
Lithium,283691,Chile,CHL,3094671.204,2023,UN Comtrade API
Lithium,283691,Chile,CHL,2431475.745,2023,UN Comtrade API
Lithium,283691,Chile,CHL,2431475.745,2023,UN Comtrade API
Lithium,283691,China,CHN,50214.396,2023,UN Comtrade API
Lithium,283691,China,CHN,2201.56,2023,UN Comtrade API
Lithium,283691,China,CHN,36965.601,2023,UN Comtrade API
Lithium,283691,China,CHN,11047.235,2023,UN Comtrade API
Lithium,283691,China,CHN,39167.161,2023,UN Comtrade API
Lithium,283691,China,CHN,2201.56,2023,UN Comtrade API
Lithium,283691,China,CHN,36965.601,2023,UN Comtrade API
Lithium,283691,China,CHN,11047.235,2023,UN Comtrade API
Lithium,283691,China,CHN,11047.235,2023,UN Comtrade API
Lithium,283691,Australia,AUS,1151.362,2023,UN Comtrade API
Lithium,283691,Australia,AUS,1151.362,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,Australia,AUS,71208.927,2023,UN Comtrade API
Lithium,283691,China,CHN,26.167,2023,UN Comtrade API
Lithium,283691,China,CHN,26.167,2023,UN Comtrade API
Lithium,283691,China,CHN,26.167,2023,UN Comtrade API
Lithium,283691,China,CHN,26.167,2023,UN Comtrade API
Lithium,283691,USA,USA,525.527,2023,UN Comtrade API
Lithium,283691,USA,USA,525.527,2023,UN Comtrade API
Lithium,283691,USA,USA,525.527,2023,UN Comtrade API
Lithium,283691,USA,USA,525.527,2023,UN Comtrade API
Lithium,283691,Chile,CHL,81675.857,2023,UN Comtrade API
Lithium,283691,Chile,CHL,49063.737,2023,UN Comtrade API
Lithium,283691,Chile,CHL,32612.121,2023,UN Comtrade API
Lithium,283691,Chile,CHL,42465497.107,2023,UN Comtrade API
Lithium,283691,Chile,CHL,62.147,2023,UN Comtrade API
Lithium,283691,Chile,CHL,42465434.96,2023,UN Comtrade API
Lithium,283691,Chile,CHL,42465497.107,2023,UN Comtrade API
Lithium,283691,Chile,CHL,62.147,2023,UN Comtrade API
Lithium,283691,Chile,CHL,42465434.96,2023,UN Comtrade API
Lithium,283691,Chile,CHL,740371.44,2023,UN Comtrade API
Lithium,283691,Chile,CHL,740371.44,2023,UN Comtrade API
Lithium,283691,Chile,CHL,740371.44,2023,UN Comtrade API
Lithium,283691,Chile,CHL,740371.44,2023,UN Comtrade API
Lithium,283691,China,CHN,214.79,2023,UN Comtrade API
Lithium,283691,China,CHN,214.79,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,838465.461,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,Brazil,BRA,361.338,2023,UN Comtrade API
Lithium,283691,China,CHN,708.698,2023,UN Comtrade API
Lithium,283691,China,CHN,708.698,2023,UN Comtrade API
Lithium,283691,China,CHN,708.698,2023,UN Comtrade API
Lithium,283691,China,CHN,708.698,2023,UN Comtrade API
Lithium,283691,USA,USA,143.92,2023,UN Comtrade API
Lithium,283691,USA,USA,143.92,2023,UN Comtrade API
