index,scenario,economy,mean,std
0,China REE+Graphite shock,France,7.215529166896527,0.8218918716136374
1,China REE+Graphite shock,Germany,8.06352007986388,0.9054309929178685
2,China REE+Graphite shock,Italy,8.358790551144146,0.9038759500724292
3,China REE+Graphite shock,Netherlands,9.232528231939664,0.9534339918350663
4,China REE+Graphite shock,Spain,9.373996371893952,1.009375095008421
5,Copper shock (Chile+Peru),France,4.078268479009981,0.6672476208582715
6,Copper shock (Chile+Peru),Germany,4.435209407532028,0.6875431997622147
7,Copper shock (Chile+Peru),Italy,4.945079261588674,0.779135690130304
8,Copper shock (Chile+Peru),Netherlands,5.181384173076132,0.8602971854256022
9,Copper shock (Chile+Peru),Spain,5.534070753199461,0.9215059558973472
10,Dual shock (China+Russia),France,7.829458491668171,0.8615590297431366
11,Dual shock (China+Russia),Germany,8.754969051338652,0.9464876471898244
12,Dual shock (China+Russia),Italy,9.06621173814556,0.9329410236803384
13,Dual shock (China+Russia),Netherlands,10.056921378926985,1.0094569831071805
14,Dual shock (China+Russia),Spain,10.165364254418225,1.0375867126600233
15,Indonesia nickel shock,France,1.545740478813817,0.28073490234024345
16,Indonesia nickel shock,Germany,1.8465791065483377,0.3481334662661793
17,Indonesia nickel shock,Italy,1.7694878816273707,0.3415663489211526
18,Indonesia nickel shock,Netherlands,1.9206343032870257,0.3686098310668703
19,Indonesia nickel shock,Spain,1.8350944655592052,0.36460870397013756
20,Lithium shock (Chile+Australia),France,4.432041327913967,0.6400574929522416
21,Lithium shock (Chile+Australia),Germany,4.9299332433571115,0.7433103570819526
22,Lithium shock (Chile+Australia),Italy,5.152452087855087,0.7766003417618246
23,Lithium shock (Chile+Australia),Netherlands,5.321612138634955,0.8226560689096909
24,Lithium shock (Chile+Australia),Spain,5.59122168726762,0.8899648358379587
