seed,resource,marginal_benefit_pp
2027,Lithium,0.05557475114427746
2027,Nickel,0.019983620390682688
2027,Cobalt,0.00977206025666888
2027,Graphite,0.7081160949159191
2027,Rare earths,1.0402449680386887
2027,Copper,0.18779198163034572
2028,Lithium,0.05294565385058547
2028,Nickel,0.02175439940481816
2028,Cobalt,0.012348058539558338
2028,Graphite,0.6620382849791797
2028,Rare earths,0.6718735163456993
2028,Copper,0.10939677776722867
2029,Lithium,0.03863158183194759
2029,Nickel,0.030831208346957517
2029,Cobalt,0.0007440574043426906
2029,Graphite,0.6564428452565805
2029,Rare earths,0.6252120226618274
2029,Copper,0.1741037487797028
2030,Lithium,0.0654971311181285
2030,Nickel,0.0460813136431355
2030,Cobalt,0.004218870020554988
2030,Graphite,0.7143665679448068
2030,Rare earths,0.7951744416762541
2030,Copper,0.12212117263874855
2031,Lithium,0.035366748724372954
2031,Nickel,0.012668137405581703
2031,Cobalt,0.004133154097374359
2031,Graphite,0.9487289820881095
2031,Rare earths,0.9241877598563608
2031,Copper,0.25222981728660443
2032,Lithium,0.0325211068132063
2032,Nickel,0.030555159203926152
2032,Cobalt,0.0014162590622373017
2032,Graphite,0.8754365417500587
2032,Rare earths,0.9167337672320723
2032,Copper,0.13440422550863218
2033,Lithium,0.04434311590844686
2033,Nickel,0.010612251918068694
2033,Cobalt,0.006044648795628049
2033,Graphite,0.6271700883311091
2033,Rare earths,0.7234904794609509
2033,Copper,0.4650692079231806
2034,Lithium,0.055807315744285546
2034,Nickel,0.016419508251260595
2034,Cobalt,0.005441535190705338
2034,Graphite,0.7433723321187804
2034,Rare earths,0.8549798962655561
2034,Copper,0.1699852789393308
2035,Lithium,0.0429132183543679
2035,Nickel,0.018599192921969987
2035,Cobalt,0.0015473297644028605
2035,Graphite,0.7104437843486764
2035,Rare earths,1.1940344504583091
2035,Copper,0.17038437618678337
2036,Lithium,0.054953037780906655
2036,Nickel,0.03511920232891441
2036,Cobalt,0.008595421059041541
2036,Graphite,0.6148346419400443
