seed,economy,supplier,shock_allocation
2027,France,China,0.25
2027,France,Australia,0.0
2027,France,Chile,0.0
2027,France,Argentina,0.0
2027,France,DR Congo,0.0
2027,France,Indonesia,0.0
2027,France,Russia,0.0
2027,France,United States,0.0
2027,France,Brazil,0.0
2027,France,South Africa,0.0
2027,France,Peru,0.0
2027,France,Canada,0.0
2027,France,Others,0.0
2027,Germany,China,0.25
2027,Germany,Australia,0.0
2027,Germany,Chile,0.0
2027,Germany,Argentina,0.0
2027,Germany,DR Congo,0.0
2027,Germany,Indonesia,0.0
2027,Germany,Russia,0.0
2027,Germany,United States,0.0
2027,Germany,Brazil,0.0
2027,Germany,South Africa,0.0
2027,Germany,Peru,0.0
2027,Germany,Canada,0.0
2027,Germany,Others,0.0
2027,Italy,China,0.25
2027,Italy,Australia,0.0
2027,Italy,Chile,0.0
2027,Italy,Argentina,0.0
2027,Italy,DR Congo,0.0
2027,Italy,Indonesia,0.0
2027,Italy,Russia,0.0
2027,Italy,United States,0.0
2027,Italy,Brazil,0.0
2027,Italy,South Africa,0.0
2027,Italy,Peru,0.0
2027,Italy,Canada,0.0
2027,Italy,Others,0.0
2027,Netherlands,China,0.25
2027,Netherlands,Australia,0.0
2027,Netherlands,Chile,0.0
2027,Netherlands,Argentina,0.0
2027,Netherlands,DR Congo,0.0
2027,Netherlands,Indonesia,0.0
2027,Netherlands,Russia,0.0
2027,Netherlands,United States,0.0
2027,Netherlands,Brazil,0.0
2027,Netherlands,South Africa,0.0
2027,Netherlands,Peru,0.0
2027,Netherlands,Canada,0.0
2027,Netherlands,Others,0.0
2027,Spain,China,0.25
2027,Spain,Australia,0.0
2027,Spain,Chile,0.0
2027,Spain,Argentina,0.0
2027,Spain,DR Congo,0.0
2027,Spain,Indonesia,0.0
2027,Spain,Russia,0.0
2027,Spain,United States,0.0
2027,Spain,Brazil,0.0
2027,Spain,South Africa,0.0
2027,Spain,Peru,0.0
2027,Spain,Canada,0.0
2027,Spain,Others,0.0
2028,France,China,0.25
2028,France,Australia,0.0
2028,France,Chile,0.0
2028,France,Argentina,0.0
2028,France,DR Congo,0.0
2028,France,Indonesia,0.0
2028,France,Russia,0.0
2028,France,United States,0.0
2028,France,Brazil,0.0
2028,France,South Africa,0.0
2028,France,Peru,0.0
2028,France,Canada,0.0
2028,France,Others,0.0
2028,Germany,China,0.25
2028,Germany,Australia,0.0
2028,Germany,Chile,0.0
2028,Germany,Argentina,0.0
2028,Germany,DR Congo,0.0
2028,Germany,Indonesia,0.0
2028,Germany,Russia,0.0
2028,Germany,United States,0.0
2028,Germany,Brazil,0.0
2028,Germany,South Africa,0.0
2028,Germany,Peru,0.0
2028,Germany,Canada,0.0
2028,Germany,Others,0.0
2028,Italy,China,0.25
2028,Italy,Australia,0.0
2028,Italy,Chile,0.0
2028,Italy,Argentina,0.0
2028,Italy,DR Congo,0.0
2028,Italy,Indonesia,0.0
2028,Italy,Russia,0.0
2028,Italy,United States,0.0
2028,Italy,Brazil,0.0
2028,Italy,South Africa,0.0
2028,Italy,Peru,0.0
2028,Italy,Canada,0.0
2028,Italy,Others,0.0
2028,Netherlands,China,0.25
2028,Netherlands,Australia,0.0
2028,Netherlands,Chile,0.0
2028,Netherlands,Argentina,0.0
2028,Netherlands,DR Congo,0.0
2028,Netherlands,Indonesia,0.0
2028,Netherlands,Russia,0.0
2028,Netherlands,United States,0.0
2028,Netherlands,Brazil,0.0
2028,Netherlands,South Africa,0.0
2028,Netherlands,Peru,0.0
2028,Netherlands,Canada,0.0
2028,Netherlands,Others,0.0
2028,Spain,China,0.25
2028,Spain,Australia,0.0
2028,Spain,Chile,0.0
2028,Spain,Argentina,0.0
2028,Spain,DR Congo,0.0
2028,Spain,Indonesia,0.0
2028,Spain,Russia,0.0
2028,Spain,United States,0.0
2028,Spain,Brazil,0.0
2028,Spain,South Africa,0.0
2028,Spain,Peru,0.0
2028,Spain,Canada,0.0
2028,Spain,Others,0.0
2029,France,China,0.25
2029,France,Australia,0.0
2029,France,Chile,0.0
2029,France,Argentina,0.0
2029,France,DR Congo,0.0
2029,France,Indonesia,0.0
2029,France,Russia,0.0
2029,France,United States,0.0
2029,France,Brazil,0.0
2029,France,South Africa,0.0
2029,France,Peru,0.0
2029,France,Canada,0.0
2029,France,Others,0.0
2029,Germany,China,0.25
2029,Germany,Australia,0.0
2029,Germany,Chile,0.0
2029,Germany,Argentina,0.0
2029,Germany,DR Congo,0.0
2029,Germany,Indonesia,0.0
2029,Germany,Russia,0.0
2029,Germany,United States,0.0
2029,Germany,Brazil,0.0
2029,Germany,South Africa,0.0
2029,Germany,Peru,0.0
2029,Germany,Canada,0.0
2029,Germany,Others,0.0
2029,Italy,China,0.25
2029,Italy,Australia,0.0
2029,Italy,Chile,0.0
2029,Italy,Argentina,0.0
2029,Italy,DR Congo,0.0
2029,Italy,Indonesia,0.0
2029,Italy,Russia,0.0
2029,Italy,United States,0.0
2029,Italy,Brazil,0.0
2029,Italy,South Africa,0.0
2029,Italy,Peru,0.0
2029,Italy,Canada,0.0
2029,Italy,Others,0.0
2029,Netherlands,China,0.25
2029,Netherlands,Australia,0.0
2029,Netherlands,Chile,0.0
2029,Netherlands,Argentina,0.0
2029,Netherlands,DR Congo,0.0
2029,Netherlands,Indonesia,0.0
2029,Netherlands,Russia,0.0
2029,Netherlands,United States,0.0
2029,Netherlands,Brazil,0.0
2029,Netherlands,South Africa,0.0
2029,Netherlands,Peru,0.0
