seed,resource,marginal_benefit_pp
2027,Lithium,0.054595964299295474
2027,Nickel,0.01940623858723356
2027,Cobalt,0.00975705533187643
2027,Graphite,0.6559788751803008
2027,Rare earths,1.0151558949413042
2027,Copper,0.177057853461152
2028,Lithium,0.05522405412690823
2028,Nickel,0.021069146221224244
2028,Cobalt,0.012691347503288597
2028,Graphite,0.598947607595429
2028,Rare earths,0.6328837813559467
2028,Copper,0.10352023664489796
2029,Lithium,0.042640863188550426
2029,Nickel,0.03245719341853892
2029,Cobalt,0.0008252487085149696
2029,Graphite,0.6264012525754676
2029,Rare earths,0.6684816219897405
2029,Copper,0.16657219344246688
2030,Lithium,0.06786790526474995
2030,Nickel,0.046315978302383876
2030,Cobalt,0.00442687619535409
2030,Graphite,0.6612257734827898
2030,Rare earths,0.7937421431179104
2030,Copper,0.11394334519498273
2031,Lithium,0.03740773472108572
2031,Nickel,0.013091123998382415
2031,Cobalt,0.004458549249386934
2031,Graphite,0.8826920672274685
2031,Rare earths,0.8899360502206797
2031,Copper,0.23661150339249915
2032,Lithium,0.032591749611590615
2032,Nickel,0.0304225575625221
2032,Cobalt,0.0014557419884084766
2032,Graphite,0.7840705829015224
2032,Rare earths,0.9297436775073011
2032,Copper,0.1238722757957973
2033,Lithium,0.044122076701148316
2033,Nickel,0.010956388020019858
2033,Cobalt,0.00625436648449984
2033,Graphite,0.5895213030820017
2033,Rare earths,0.7716540435002273
2033,Copper,0.46601645834805794
2034,Lithium,0.05818818399231418
2034,Nickel,0.01669778513610609
2034,Cobalt,0.005751122928796093
2034,Graphite,0.6673077980624962
2034,Rare earths,0.8676938332608692
2034,Copper,0.16152128339894922
2035,Lithium,0.044329438039774516
2035,Nickel,0.018302234983092802
2035,Cobalt,0.0016132834552671227
2035,Graphite,0.6909314989709401
2035,Rare earths,1.2457011221526528
2035,Copper,0.1716915407292703
2036,Lithium,0.05489892640496663
2036,Nickel,0.03284040123093668
2036,Cobalt,0.008489788313337243
2036,Graphite,0.5581309737583933
2036,Rare earths,0.9735721947440759
2036,Copper,0.22784026472203678
2037,Lithium,0.047595681142936996
2037,Nickel,0.03811026214588331
2037,Cobalt,0.0033946312502326492
2037,Graphite,0.6366999616767277
2037,Rare earths,0.8523696253856148
2037,Copper,0.16918888621459516
2038,Lithium,0.03858290708588896
2038,Nickel,0.010037642829367144
2038,Cobalt,0.010004202275467833
2038,Graphite,0.6737866677634425
2038,Rare earths,0.7685781814616384
2038,Copper,0.20298857475857535
2039,Lithium,0.0758193639407363
2039,Nickel,0.02182820209605829
2039,Cobalt,0.0146964728488026
2039,Graphite,0.5648413983633116
2039,Rare earths,0.9917895914718304
2039,Copper,0.24361031696014734
2040,Lithium,0.03902510818650207
2040,Nickel,0.035569407070948245
2040,Cobalt,0.0016708374663334524
2040,Graphite,0.6458517783215436
2040,Rare earths,0.8765304629747908
2040,Copper,0.22714154047196367
2041,Lithium,0.03844053863512098
2041,Nickel,0.06315721767523907
2041,Cobalt,0.002437760396725608
2041,Graphite,0.5548707924383365
2041,Rare earths,0.8312340737107871
2041,Copper,0.14325867802287107
2042,Lithium,0.048662683863543776
2042,Nickel,0.005782548790026709
2042,Cobalt,0.0011853576965101809
2042,Graphite,0.7212826396836931
2042,Rare earths,0.9186307983530266
2042,Copper,0.23790711948429966
2043,Lithium,0.03842807231663414
2043,Nickel,0.022115896521791356
2043,Cobalt,0.007835850953487267
2043,Graphite,0.5399680411103542
2043,Rare earths,0.6738900737022222
2043,Copper,0.09349745147648303
2044,Lithium,0.012277545475492424
2044,Nickel,0.1387201772007387
2044,Cobalt,0.019259006392842615
2044,Graphite,0.08832421227464327
2044,Rare earths,0.09715664124057888
2044,Copper,0.5984078133312876
2045,Lithium,0.04333311519108918
2045,Nickel,0.0390748666290861
2045,Cobalt,0.0037569545525837356
2045,Graphite,0.7121510797012469
2045,Rare earths,0.8190840869968152
2045,Copper,0.28102733670287705
2046,Lithium,0.04380595514917207
2046,Nickel,0.017004518036062954
2046,Cobalt,0.0025887590086748347
2046,Graphite,0.5947975770979026
2046,Rare earths,0.7469392156000492
2046,Copper,0.18786234778010868
2047,Lithium,0.04081533880093424
2047,Nickel,0.011509264359805371
2047,Cobalt,0.0032676853731512523
2047,Graphite,0.6040889490118779
2047,Rare earths,0.9651718931042321
2047,Copper,0.14930555533237744
2048,Lithium,0.01993289799303355
2048,Nickel,0.03535370232846535
2048,Cobalt,0.0074216659810115715
2048,Graphite,0.5792582284473093
2048,Rare earths,0.8462241361817302
2048,Copper,0.1418964941519718
2049,Lithium,0.01454243450636028
2049,Nickel,0.007788948549698915
2049,Cobalt,0.0046952201598173815
2049,Graphite,0.6988329100053683
2049,Rare earths,1.0853246106355119
2049,Copper,0.1458063052674312
2050,Lithium,0.03306465525285596
2050,Nickel,0.010986844718017252
2050,Cobalt,0.00402553036517439
2050,Graphite,0.6684288139155043
2050,Rare earths,1.0471228546030877
2050,Copper,0.15940115212189454
2051,Lithium,0.056421842227777574
2051,Nickel,0.020783339003020984
2051,Cobalt,0.008183758650114115
2051,Graphite,0.7021591954318751
2051,Rare earths,0.8376277620799755
2051,Copper,0.23693748902708478
2052,Lithium,0.03604530362125935
2052,Nickel,0.02833539515718897
2052,Cobalt,0.008362716845526919
2052,Graphite,0.5853025025789318
2052,Rare earths,1.021552795023192
2052,Copper,0.1660740186155394
2053,Lithium,0.03924954999569508
2053,Nickel,0.020344977592278823
2053,Cobalt,0.002805010836787858
2053,Graphite,0.7538205341346504
2053,Rare earths,0.8774569575099322
2053,Copper,0.11967469523613339
2054,Lithium,0.03387304316744277
2054,Nickel,0.020946124683907108
2054,Cobalt,0.0035475637581647845
2054,Graphite,0.648011908984369
2054,Rare earths,0.8492436038137576
2054,Copper,0.12383736993402295
2055,Lithium,0.04851807045476164
2055,Nickel,0.022025097362973867
2055,Cobalt,0.005890686494574027
2055,Graphite,0.7137968403470651
2055,Rare earths,0.9398129387863836
2055,Copper,0.211787783433941
2056,Lithium,0.028761632115212876
2056,Nickel,0.021101759028976375
2056,Cobalt,0.0013941218943145373
2056,Graphite,0.6044015362731017
2056,Rare earths,1.004583457609467
2056,Copper,0.22935281348203418
2057,Lithium,0.0547752504989063
2057,Nickel,0.014968613159147992
2057,Cobalt,0.004194758292722867
2057,Graphite,0.8054883479010924
2057,Rare earths,0.8057384389741546
2057,Copper,0.16243774374010478
2058,Lithium,0.057252202840254895
2058,Nickel,0.028495505408606903
2058,Cobalt,0.0032139072844827865
2058,Graphite,0.7297580070763168
2058,Rare earths,0.8932182476880524
2058,Copper,0.1567209448358522
2059,Lithium,0.048139249896770764
2059,Nickel,0.0201701587030918
2059,Cobalt,0.001328053962092568
2059,Graphite,0.6579492505561415
2059,Rare earths,0.8615705583108664
2059,Copper,0.20886385085245252
2060,Lithium,0.0773153868847789
2060,Nickel,0.024136247448071302
2060,Cobalt,0.004203425945954464
2060,Graphite,0.5397120975781657
2060,Rare earths,1.0143443636628842
2060,Copper,0.22419068923979246
2061,Lithium,0.03488904677417359
2061,Nickel,0.033012428447889874
2061,Cobalt,0.00627185259221541
2061,Graphite,0.6034573591417232
2061,Rare earths,0.9151524953114265
2061,Copper,0.2027294008307141
2062,Lithium,0.030214869656328247
2062,Nickel,0.021219875351379258
2062,Cobalt,0.003667938026843842
2062,Graphite,0.7467420902964363
2062,Rare earths,0.845734843887433
2062,Copper,0.15159115701470327
2063,Lithium,0.06759663810963978
