seed,economy,K0,HHI,chi,upstream_alignment,upstream_concentration,supplier_entropy,macro_sensitivity,gamma,worstcase_loss_pct
2027,France,1.0,0.23358986245404945,0.04028131013713104,0.9041703679907033,0.18391341016304147,2.072328453515799,0.8444336890376138,0.20070204318125673,7.427114484310659
2027,Germany,1.0,0.2670107401185407,0.05054605312729027,0.9096130904641795,0.1874296414806682,2.048155568992699,1.012030086870199,0.22482449405545266,9.038846860152287
2027,Italy,1.0,0.23982327290565775,0.04112883810404818,0.9132673939118221,0.18077007640697895,2.076030307474047,1.2059951800909903,0.20280246079386754,10.432129840250402
2027,Netherlands,1.0,0.2339068261016205,0.044540702675084434,0.907724109155932,0.1888054583933762,2.044391675458165,1.105373596165318,0.2110466836391523,9.872672187122594
2027,Spain,1.0,0.2561765973713869,0.044581522061197074,0.9155372656753956,0.18071703416900642,2.07211103512943,1.1650220411285754,0.21114336849921922,10.05398736077239
2027,Sweden,1.0,0.2283703585156342,0.03949270990374786,0.8955599245226364,0.18331978993852835,2.078232373279374,0.9282046082436566,0.19872772806970812,8.075482052107386
2027,Denmark,1.0,0.2301880592672331,0.041491607237160624,0.9054793481653931,0.1845537698798602,2.0655096156514716,0.9638296785789576,0.2036948876068337,8.454860022097469
2027,Finland,1.0,0.23136739476285606,0.04308250453411378,0.9005230666182596,0.1879500153777994,2.0545723545568246,0.928113796939585,0.20756325429640426,8.242503844445379
2028,France,1.0,0.2167421032288865,0.03554555439829708,0.8833465206868097,0.17394988553540708,2.1091813756769726,0.7779556678484788,0.18853528687833768,5.465536605324714
2028,Germany,1.0,0.23257922741314255,0.03750887211663927,0.8754173797531216,0.17219292399292147,2.120676711933266,1.011409109311541,0.19367207366225847,7.104278184542814
2028,Italy,1.0,0.2281654362887278,0.03777485790817611,0.8910054424953813,0.17341476670937028,2.106490779514142,1.0437541295545842,0.19435755171378372,7.332709284265881
2028,Netherlands,1.0,0.2800840930178763,0.04888140151027011,0.8709008181000364,0.17597436263108418,2.0944498307396198,1.20019294200738,0.221091387236749,8.284610526107755
2028,Spain,1.0,0.24580144927463293,0.04129474869622488,0.8977069518967089,0.17404163195205288,2.0982550017562698,1.2442663931216633,0.2032110939299941,8.857725119288308
2028,Sweden,1.0,0.2212167225985497,0.0358190777192957,0.8772129427946653,0.17295952164640463,2.1168656948134292,0.8916906462620567,0.1892592870093716,6.248893136268974
2028,Denmark,1.0,0.29290820722945005,0.04624210645886991,0.8588857786814564,0.17073512001290722,2.1314896980009337,0.8872391955068936,0.21503977878260086,6.337485024668713
2028,Finland,1.0,0.27088021062024714,0.04675803197589161,0.8593144826106239,0.17670450453160913,2.100519528215922,1.0488489995059762,0.21623605614210506,7.13182719491123
2029,France,1.0,0.23332526353644678,0.04307094855636319,0.8943224832686238,0.19073252309099603,2.0191418372149825,0.7929870335977403,0.20753541518585011,5.848958466711046
2029,Germany,1.0,0.24877552244713821,0.04564898351326971,0.9031511923275245,0.19032837155306437,2.015910880821995,0.9985517403494006,0.21365622741513926,7.491440496382682
2029,Italy,1.0,0.29541411164297404,0.057269155703766755,0.9148057025226621,0.19329806730064836,1.990723668568772,1.0796911597316574,0.2393097484511794,8.081685501745515
2029,Netherlands,1.0,0.2127661625464102,0.039159046854501556,0.8892587539755947,0.19090859354538156,2.023718950061112,0.9884558943072494,0.19788644939586328,7.080687332758265
2029,Spain,1.0,0.3088289481148096,0.06153177055278296,0.9331124162025497,0.19805471127720092,1.950188777707249,1.236603749221101,0.248055982699033,9.520115512217162
2029,Sweden,1.0,0.2408990455089593,0.04315065062427278,0.882520825968809,0.1884592679997603,2.037021651678655,0.9835011706762942,0.2077273468378027,7.198275267001086
2029,Denmark,1.0,0.2558431580956577,0.047397348627429135,0.8857313757353291,0.18978663308094518,2.027500434558059,0.9812772346107758,0.21770932140684546,7.214043558545654
2029,Finland,1.0,0.22654082346615326,0.041571697510271954,0.8910932524066946,0.19033264160967828,2.023872858696289,0.9999002153260963,0.20389138655242883,7.330318041753503
2030,France,1.0,0.22223708425485939,0.03596685555094546,0.8765035517373435,0.17375403025970526,2.1439450730152143,0.9346881850359734,0.18964929620471957,7.15399583128424
2030,Germany,1.0,0.23578309631190045,0.03852927337980033,0.8651806627945783,0.17295677357366676,2.1529171502364863,1.0403025197836562,0.19628875000824764,7.846657544211647
2030,Italy,1.0,0.28237380451246513,0.04455826705593575,0.8807472830561398,0.16780446149544978,2.1565925674487305,0.9621226340246972,0.21108829208635838,7.03403901192609
2030,Netherlands,1.0,0.2623683300393705,0.04844878133003628,0.8558660344255057,0.18201894353888037,2.1163275025523363,1.1465024152718963,0.22011083873820544,8.959141818309131
2030,Spain,1.0,0.24614327863214544,0.04177212729484349,0.8916739169979487,0.17536507788630376,2.1223812297437092,1.2498220617530629,0.20438230670692484,9.554579628238836
2030,Sweden,1.0,0.24076883748686725,0.037919255758435313,0.856816219596804,0.1722754822895255,2.1611558124541452,1.070497419845343,0.1947286721529095,8.092569501232294
2030,Denmark,1.0,0.27359242319660837,0.04793448200992476,0.8473067494981272,0.17617243000552546,2.1461707296813097,0.8775552199946173,0.2189394482726326,6.6778858647763135
2030,Finland,1.0,0.2265751630938339,0.03894546321021273,0.8596391116901508,0.17721894442933017,2.1382742984095597,0.9697112198853022,0.19734604939094355,7.398408118327715
